Expressao,GrupoMultiplo,IndicaNaoOSC,SubGrupo,Motivo,Check
CAIXA ESOCLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ESOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA EXCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA LESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA MUNICIPAL,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA PROF\\.,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA SECOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA UMEI,0,1,.,CAIXAS ESCOLARES e similares,
CAIXAA ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXAE ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXAESC,0,1,.,CAIXAS ESCOLARES e similares,
CAIXAR ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CX\\. E,0,1,.,CAIXAS ESCOLARES e similares,
CX\\.E,0,1,.,CAIXAS ESCOLARES e similares,
CAIX A ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIX AESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA-ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIX\\. ESC,0,1,.,CAIXAS ESCOLARES e similares,
CX,1,1,1,CAIXAS ESCOLARES e similares,
ESC,1,1,2,CAIXAS ESCOLARES e similares,
ATECCX,1,0,.,CAIXAS ESCOLARES e similares,
CARNAVALESCO,1,0,.,CAIXAS ESCOLARES e similares,
^C ESC DA,0,1,.,CAIXAS ESCOLARES e similares,
^C ESC DO,0,1,.,CAIXAS ESCOLARES e similares,
^C ESCOLAR DA,0,1,.,CAIXAS ESCOLARES e similares,
^C\\. ESCOLAR DA,0,1,.,CAIXAS ESCOLARES e similares,
^CA ES,0,1,.,CAIXAS ESCOLARES e similares,
^CA\\. ES,0,1,.,CAIXAS ESCOLARES e similares,
^CAI E,0,1,.,CAIXAS ESCOLARES e similares,
^CAIA E ,0,1,.,CAIXAS ESCOLARES e similares,
^CAIX E,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA E ,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA E\\.,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CONSELHO DA ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CONSELHO DE ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CONSELHO ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CX E,0,1,.,CAIXAS ESCOLARES e similares,
^CX\\. E\\.,0,1,.,CAIXAS ESCOLARES e similares,
^CXA E,0,1,.,CAIXAS ESCOLARES e similares,
^CXA\\.E,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ES ,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CONSELHO ESC,0,1,.,CAIXAS ESCOLARES e similares,
CX\\. E,0,1,.,CAIXAS ESCOLARES e similares,
CX\\.E,0,1,.,CAIXAS ESCOLARES e similares,
ASSOCIACAO DE PAIS E MESTRE,0,1,.,CAIXAS ESCOLARES e similares,
ASSOCIACAO DE PAIS E PROF,0,1,.,CAIXAS ESCOLARES e similares,
ASSOC DE PAIS E MESTRES,0,1,.,CAIXAS ESCOLARES e similares,
ASSOC\\. DE PAIS E MESTRES,0,1,.,CAIXAS ESCOLARES e similares,
ASSOC\\.DE PAIS E PROF,0,1,.,CAIXAS ESCOLARES e similares,
ASSOCIAO DE PAIS E PROFESSORES,0,1,.,CAIXAS ESCOLARES e similares,
^ESCOLA,2,1,1,CAIXAS ESCOLARES e similares,
^A E C,2,1,2,CAIXAS ESCOLARES e similares,
^A P M,2,1,2,CAIXAS ESCOLARES e similares,
^A P M C,2,1,2,CAIXAS ESCOLARES e similares,
^A P P,2,1,2,CAIXAS ESCOLARES e similares,
^A\\.E\\.C\\.,2,1,2,CAIXAS ESCOLARES e similares,
^A\\.P\\.M,2,1,2,CAIXAS ESCOLARES e similares,
^A\\.P\\.P,2,1,2,CAIXAS ESCOLARES e similares,
^AEC,2,1,2,CAIXAS ESCOLARES e similares,
^APM,2,1,2,CAIXAS ESCOLARES e similares,
^APMF,2,1,2,CAIXAS ESCOLARES e similares,
^APP,2,1,2,CAIXAS ESCOLARES e similares,
^ASS\\. DE ESC,2,1,2,CAIXAS ESCOLARES e similares,
^ASSCIACAO DE PAIS E MEST,2,1,2,CAIXAS ESCOLARES e similares,
^ASSO DE PAIS E PROF,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS E MESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS E PROF,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOC ESC\\. COMUNIDADE,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE ESC,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOC\\. DE PAIS E PROF,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE APOIO A ESCOLA,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS MEST,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E MEST,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS E PROF,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS MESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS MESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAISMESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO ESC,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO PAIS E MESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIACAO PAIS E PROFESSORES,2,1,2,CAIXAS ESCOLARES e similares,
^ASSOCIAO DE PAIS E MESTRE,2,1,2,CAIXAS ESCOLARES e similares,
^C\\.P\\.M,2,1,2,CAIXAS ESCOLARES e similares,
^CAIA ESCOLAR,2,1,2,CAIXAS ESCOLARES e similares,
^CEIXA ESCOLAR,2,1,2,CAIXAS ESCOLARES e similares,
^CIRCULO DE PAIS E MESTRES,2,1,2,CAIXAS ESCOLARES e similares,
^CONMSELHO DA ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS DE ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS\\. ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS\\.DA ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS\\.DE ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONS\\.ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONSELHO DA ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONSELHO DE APOIO E INCENTIVO A ESCOLA,2,1,2,CAIXAS ESCOLARES e similares,
^CONSELHO DE ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONSELHO ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONSELO ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CONSLEHO ESC,2,1,2,CAIXAS ESCOLARES e similares,
^CPM,2,1,2,CAIXAS ESCOLARES e similares,
UEX,2,1,2,CAIXAS ESCOLARES e similares,
^UEX,3,1,1,CAIXAS ESCOLARES e similares,
ESCOLA,3,1,2,CAIXAS ESCOLARES e similares,
UNIDADE EXECUTORA,4,1,1,CAIXAS ESCOLARES e similares,
AGRICULTORES RURAIS,4,0,.,CAIXAS ESCOLARES e similares,
AGROTECNICA,4,0,.,CAIXAS ESCOLARES e similares,
CONSELHO COMUN,4,0,.,CAIXAS ESCOLARES e similares,
MORADORES,4,0,.,CAIXAS ESCOLARES e similares,
PRODUTORES RURAIS,4,0,.,CAIXAS ESCOLARES e similares,
PROPRIA,4,0,.,CAIXAS ESCOLARES e similares,
TRABALHADORES RURAIS,4,0,.,CAIXAS ESCOLARES e similares,
^A \\.P\\. M\\.,5,1,1,CAIXAS ESCOLARES e similares,
^A\\.P\\.M,5,1,1,CAIXAS ESCOLARES e similares,
^A\\.P\\.M\\.,5,1,1,CAIXAS ESCOLARES e similares,
^A\\.PM\\.,5,1,1,CAIXAS ESCOLARES e similares,
^APAFEC,5,1,1,CAIXAS ESCOLARES e similares,
^APM,5,1,1,CAIXAS ESCOLARES e similares,
ACADEMIA,5,0,.,CAIXAS ESCOLARES e similares,
APOSENTADO,5,0,.,CAIXAS ESCOLARES e similares,
BENEFICIOS E PROTECAO,5,0,.,CAIXAS ESCOLARES e similares,
CENTRO CULTURAL,5,0,.,CAIXAS ESCOLARES e similares,
EMPREENDEDORES,5,0,.,CAIXAS ESCOLARES e similares,
PAULISTA DE MEDICINA,5,0,.,CAIXAS ESCOLARES e similares,
PAULO FREIRE DE EDUCACAO,5,0,.,CAIXAS ESCOLARES e similares,
PESCADORES E M,5,0,.,CAIXAS ESCOLARES e similares,
PEQUENA GENTE,5,0,.,CAIXAS ESCOLARES e similares,
POLICIAIS,5,0,.,CAIXAS ESCOLARES e similares,
PROFISSIONAIS,5,0,.,CAIXAS ESCOLARES e similares,
PROGRESSISTA DAS MULHERES,5,0,.,CAIXAS ESCOLARES e similares,
PROJETO SANTA MARTHA,5,0,.,CAIXAS ESCOLARES e similares,
PROPRIETARIOS E MORADORES,5,0,.,CAIXAS ESCOLARES e similares,
PREVIDENCIA PRIVADA,5,0,.,CAIXAS ESCOLARES e similares,
PRODUTORES,5,0,.,CAIXAS ESCOLARES e similares,
SOCIEDADE BENEFICIENTE ESPIRITUALISTA,5,0,.,CAIXAS ESCOLARES e similares,
SOCIEDADE PRO MELHORAMENTOS,5,0,.,CAIXAS ESCOLARES e similares,
^C E DA ESC,6,1,1,CAIXAS ESCOLARES e similares,
^C\\. E,6,1,1,CAIXAS ESCOLARES e similares,
^C\\.E,6,1,1,CAIXAS ESCOLARES e similares,
^CO\\. E,6,1,1,CAIXAS ESCOLARES e similares,
^COM\\. E,6,1,1,CAIXAS ESCOLARES e similares,
^COM\\. EXE,6,1,1,CAIXAS ESCOLARES e similares,
^COM\\.E,6,1,1,CAIXAS ESCOLARES e similares,
^COM\\.EXE,6,1,1,CAIXAS ESCOLARES e similares,
^COMITE EXE,6,1,1,CAIXAS ESCOLARES e similares,
^U E ,6,1,1,CAIXAS ESCOLARES e similares,
^U EX,6,1,1,CAIXAS ESCOLARES e similares,
^U\\. EX,6,1,1,CAIXAS ESCOLARES e similares,
^U\\.E,6,1,1,CAIXAS ESCOLARES e similares,
^U\\.EX,6,1,1,CAIXAS ESCOLARES e similares,
^U\\.EXE,6,1,1,CAIXAS ESCOLARES e similares,
^UEX,6,1,1,CAIXAS ESCOLARES e similares,
^UN EX,6,1,1,CAIXAS ESCOLARES e similares,
^UN\\. EX,6,1,1,CAIXAS ESCOLARES e similares,
^UN\\.EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNI EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNI\\. EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNI\\.EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNID EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNID\\. EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNID\\.EX,6,1,1,CAIXAS ESCOLARES e similares,
^UNIDADE EX,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA DO PRE ESCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ECOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ECSOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA EDCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA EDSCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA EE,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ES ,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ES\\.DA,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ESACOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ESC,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ESOCLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA ESOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA EXCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA LESCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA MUNICIPAL,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA PROF\\.,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA SECOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXA UMEI,6,1,1,CAIXAS ESCOLARES e similares,
CAIXAA ESCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXAE ESCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CAIXAESC,6,1,1,CAIXAS ESCOLARES e similares,
CAIXAR ESCOLAR,6,1,1,CAIXAS ESCOLARES e similares,
CX\\. E,6,1,1,CAIXAS ESCOLARES e similares,
CX\\.E ,6,1,1,CAIXAS ESCOLARES e similares,
D PEDRO II,6,1,2,CAIXAS ESCOLARES e similares,
D\\. PEDRO II,6,1,2,CAIXAS ESCOLARES e similares,
D\\.PEDRO II,6,1,2,CAIXAS ESCOLARES e similares,
DOM PEDRO II,6,1,2,CAIXAS ESCOLARES e similares,
E E E F,6,1,2,CAIXAS ESCOLARES e similares,
E E E I,6,1,2,CAIXAS ESCOLARES e similares,
E EST,6,1,2,CAIXAS ESCOLARES e similares,
E M E F,6,1,2,CAIXAS ESCOLARES e similares,
E M E I,6,1,2,CAIXAS ESCOLARES e similares,
E MUN,6,1,2,CAIXAS ESCOLARES e similares,
E\\. EST,6,1,2,CAIXAS ESCOLARES e similares,
E\\. M\\. E\\. F,6,1,2,CAIXAS ESCOLARES e similares,
E\\. M\\. E\\. I,6,1,2,CAIXAS ESCOLARES e similares,
E\\. MUN,6,1,2,CAIXAS ESCOLARES e similares,
E\\.EST,6,1,2,CAIXAS ESCOLARES e similares,
E\\.M\\.E\\.F,6,1,2,CAIXAS ESCOLARES e similares,
E\\.M\\.E\\.I,6,1,2,CAIXAS ESCOLARES e similares,
E\\.MUN,6,1,2,CAIXAS ESCOLARES e similares,
EEEF,6,1,2,CAIXAS ESCOLARES e similares,
EMEB,6,1,2,CAIXAS ESCOLARES e similares,
EMEF,6,1,2,CAIXAS ESCOLARES e similares,
EMEI,6,1,2,CAIXAS ESCOLARES e similares,
ESC E ,6,1,2,CAIXAS ESCOLARES e similares,
ESC EST,6,1,2,CAIXAS ESCOLARES e similares,
ESC M ,6,1,2,CAIXAS ESCOLARES e similares,
ESC MUN,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\. E,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\. EST,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\. M ,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\. MUN,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\.EST,6,1,2,CAIXAS ESCOLARES e similares,
ESC\\.MUN,6,1,2,CAIXAS ESCOLARES e similares,
ESCOLA EST,6,1,2,CAIXAS ESCOLARES e similares,
ESCOLA MUN,6,1,2,CAIXAS ESCOLARES e similares,
PAIS E MESTRE ,6,1,2,CAIXAS ESCOLARES e similares,
ACEBENI,6,0,.,CAIXAS ESCOLARES e similares,
C E B U V,6,0,.,CAIXAS ESCOLARES e similares,
C\\.E\\.B\\.U\\.V\\.,6,0,.,CAIXAS ESCOLARES e similares,
CENTRO DE EST,6,0,.,CAIXAS ESCOLARES e similares,
CENTRO ESP\\.,6,0,.,CAIXAS ESCOLARES e similares,
COM\\. EV\\.,6,0,.,CAIXAS ESCOLARES e similares,
COMUNIDADE,6,0,.,CAIXAS ESCOLARES e similares,
CONFISSAO,6,0,.,CAIXAS ESCOLARES e similares,
ENFERM SANTA CASA,6,0,.,CAIXAS ESCOLARES e similares,
ENVELHECIMENTO,6,0,.,CAIXAS ESCOLARES e similares,
ESPIRITA,6,0,.,CAIXAS ESCOLARES e similares,
EVAN\\.,6,0,.,CAIXAS ESCOLARES e similares,
EVANG,6,0,.,CAIXAS ESCOLARES e similares,
GRACA DE DEUS,6,0,.,CAIXAS ESCOLARES e similares,
LUTERANA,6,0,.,CAIXAS ESCOLARES e similares,
MINISTERIO,6,0,.,CAIXAS ESCOLARES e similares,
OGUM,6,0,.,CAIXAS ESCOLARES e similares,
ORTOPEDIA,6,0,.,CAIXAS ESCOLARES e similares,
PROFET,6,0,.,CAIXAS ESCOLARES e similares,
RECUPERACAO,6,0,.,CAIXAS ESCOLARES e similares,
TEMPLO,6,0,.,CAIXAS ESCOLARES e similares,
TERAPEUTICO ,6,0,.,CAIXAS ESCOLARES e similares,
^AS\\.PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASS CIRC,7,1,1,CAIXAS ESCOLARES e similares,
^ASS CPM,7,1,1,CAIXAS ESCOLARES e similares,
^ASS DE APOIO,7,1,1,CAIXAS ESCOLARES e similares,
^ASS DE P E M,7,1,1,CAIXAS ESCOLARES e similares,
^ASS DE PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASS ESC,7,1,1,CAIXAS ESCOLARES e similares,
^ASS PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASS\\. DE,7,1,1,CAIXAS ESCOLARES e similares,
^ASS\\. P,7,1,1,CAIXAS ESCOLARES e similares,
^ASSO DE PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. P,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.P,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO D PA,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PA,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO P\\.,7,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO PAIS,7,1,1,CAIXAS ESCOLARES e similares,
ASS DE PAIS DE ALUNOS,7,1,1,CAIXAS ESCOLARES e similares,
ASS\\.P,7,1,1,CAIXAS ESCOLARES e similares,
ASSOC DE PAIS DE ALUNOS,7,1,1,CAIXAS ESCOLARES e similares,
ASSOCIACAO DE ALUNOS E MEST,7,1,1,CAIXAS ESCOLARES e similares,
ASSOCIACAO DE PAIS DE ALUNOS E MEST,7,1,1,CAIXAS ESCOLARES e similares,
CENTRO EDUC,7,1,2,CAIXAS ESCOLARES e similares,
COL,7,1,2,CAIXAS ESCOLARES e similares,
CRECHE,7,1,2,CAIXAS ESCOLARES e similares,
ESC,7,1,2,CAIXAS ESCOLARES e similares,
MEST,7,1,2,CAIXAS ESCOLARES e similares,
PROFESSOR,7,1,2,CAIXAS ESCOLARES e similares,
AGRICOLA,7,0,.,CAIXAS ESCOLARES e similares,
AMIGO,7,0,.,CAIXAS ESCOLARES e similares,
ATLETA,7,0,.,CAIXAS ESCOLARES e similares,
BOXE,7,0,.,CAIXAS ESCOLARES e similares,
CANTORES,7,0,.,CAIXAS ESCOLARES e similares,
COLABORADOR,7,0,.,CAIXAS ESCOLARES e similares,
CRIANCA,7,0,.,CAIXAS ESCOLARES e similares,
EMPREGADOS,7,0,.,CAIXAS ESCOLARES e similares,
ESCLEROSE,7,0,.,CAIXAS ESCOLARES e similares,
ESCOTEIRO,7,0,.,CAIXAS ESCOLARES e similares,
ESCRITORIO,7,0,.,CAIXAS ESCOLARES e similares,
ESCUNAS,7,0,.,CAIXAS ESCOLARES e similares,
ESTUDO,7,0,.,CAIXAS ESCOLARES e similares,
FUNC,7,0,.,CAIXAS ESCOLARES e similares,
FUTEBOL,7,0,.,CAIXAS ESCOLARES e similares,
MOR,7,0,.,CAIXAS ESCOLARES e similares,
PARAPSICOLOGIA,7,0,.,CAIXAS ESCOLARES e similares,
PASTORES,7,0,.,CAIXAS ESCOLARES e similares,
PATROES,7,0,.,CAIXAS ESCOLARES e similares,
PESCA,7,0,.,CAIXAS ESCOLARES e similares,
PRODUTORES,7,0,.,CAIXAS ESCOLARES e similares,
PROFISSIONAL,7,0,.,CAIXAS ESCOLARES e similares,
SAMBA,7,0,.,CAIXAS ESCOLARES e similares,
TRAB,7,0,.,CAIXAS ESCOLARES e similares,
VOLUNTARIO,7,0,.,CAIXAS ESCOLARES e similares,
^A\\.P\\.M ,0,1,.,CAIXAS ESCOLARES e similares,
^A\\.P\\.M\\. ,0,1,.,CAIXAS ESCOLARES e similares,
^A\\.PM\\.,0,1,.,CAIXAS ESCOLARES e similares,
^APAFEC,0,1,.,CAIXAS ESCOLARES e similares,
^A A E,8,1,1,CAIXAS ESCOLARES e similares,
^A ASSOCIACAO DE PAIS E MESTRES,8,1,1,CAIXAS ESCOLARES e similares,
^A P M ,8,1,1,CAIXAS ESCOLARES e similares,
^A\\.A\\.P,8,1,1,CAIXAS ESCOLARES e similares,
^A\\.P\\.M,8,1,1,CAIXAS ESCOLARES e similares,
^A\\.P\\.P,8,1,1,CAIXAS ESCOLARES e similares,
^AAP,8,1,1,CAIXAS ESCOLARES e similares,
^APM,8,1,1,CAIXAS ESCOLARES e similares,
^APP^AS PAIS E M,8,1,1,CAIXAS ESCOLARES e similares,
^A\\. E\\. E\\. ,8,1,1,CAIXAS ESCOLARES e similares,
^A\\. P\\. M,8,1,1,CAIXAS ESCOLARES e similares,
^A \\.P\\. M\\.,8,1,1,CAIXAS ESCOLARES e similares,
^A ASS DE PAIS E MEST,8,1,1,CAIXAS ESCOLARES e similares,
^A ASSOC DE PAIS E MEST,8,1,1,CAIXAS ESCOLARES e similares,
^AS DE P E M,8,1,1,CAIXAS ESCOLARES e similares,
^AS DE PAIS E M ,8,1,1,CAIXAS ESCOLARES e similares,
AS DE PAIS E PR,8,1,1,CAIXAS ESCOLARES e similares,
^AS DE PAIS E PROF,8,1,1,CAIXAS ESCOLARES e similares,
^ASS\\.PAIS MESTRES E FU,8,1,1,CAIXAS ESCOLARES e similares,
ASSOC DE PAIS AMIGOS MEST,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS DE PROF,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS E MEST ,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS MET,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC DE PAIS PROF,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MESTR E FUNC,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS MESTRES E FUNC,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAISPROFFUNC,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\. PAIS PROF\\.,8,1,1,CAIXAS ESCOLARES e similares,
ASSOCIACAODE PAIS E MESTRES ,8,1,1,CAIXAS ESCOLARES e similares,
^AS PAIS M,8,1,1,CAIXAS ESCOLARES e similares,
^AS PAIS PR,8,1,1,CAIXAS ESCOLARES e similares,
^AS\\.PAIS,8,1,1,CAIXAS ESCOLARES e similares,
^ASS DE PAIS E M ,8,1,1,CAIXAS ESCOLARES e similares,
^ASS DE PAIS ME,8,1,1,CAIXAS ESCOLARES e similares,
^ASS DE PAIS,8,1,1,CAIXAS ESCOLARES e similares,
^ASS P M,8,1,1,CAIXAS ESCOLARES e similares,
^ASS P P,8,1,1,CAIXAS ESCOLARES e similares,
^ASS PAIS E MEST,8,1,1,CAIXAS ESCOLARES e similares,
^ASS PAIS M ESC,8,1,1,CAIXAS ESCOLARES e similares,
^ASS PAIS MEST,8,1,1,CAIXAS ESCOLARES e similares,
^ASS\\. DE PAES^ASS\\. DE PAIS,8,1,1,CAIXAS ESCOLARES e similares,
^ASS\\. P,8,1,1,CAIXAS ESCOLARES e similares,
^ASSO DE PAIS,8,1,1,CAIXAS ESCOLARES e similares,
^ASSO PAIS E P,8,1,1,CAIXAS ESCOLARES e similares,
^ASSO PAIS P,8,1,1,CAIXAS ESCOLARES e similares,
^ASSO\\. PAIS P,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P ,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P M ,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC P P ,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS E PR,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC PAIS PR,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOC\\.P\\.M,8,1,1,CAIXAS ESCOLARES e similares,
ASSOC\\.PAI,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO D PA,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAI,8,1,1,CAIXAS ESCOLARES e similares,
^ASSOCIACAO DE PAIS  MESTRES,8,1,1,CAIXAS ESCOLARES e similares,
